field,domain,numpub
Accounting,Social Sciences,37
Aerospace Engineering,Physical Sciences,34
Aging,Life Sciences,9
Agronomy and Crop Science,Life Sciences,0
Algebra and Number Theory,Physical Sciences,13
Analytical Chemistry,Physical Sciences,1
Anatomy,Health Sciences,0
Anesthesiology and Pain Medicine,Health Sciences,12
Animal Science and Zoology,Life Sciences,3
Anthropology,Social Sciences,29
Applied Mathematics,Physical Sciences,4
Applied Microbiology and Biotechnology,Life Sciences,3
Applied Psychology,Social Sciences,15
Aquatic Science,Life Sciences,1
Archeology,Social Sciences,1
Architecture,Physical Sciences,1
Artificial Intelligence,Physical Sciences,149
Astronomy and Astrophysics,Physical Sciences,183
Atmospheric Science,Physical Sciences,35
"Atomic and Molecular Physics, and Optics",Physical Sciences,58
Automotive Engineering,Physical Sciences,12
Behavioral Neuroscience,Life Sciences,3
Biochemistry,Health Sciences,4
Bioengineering,Physical Sciences,1
Biological Psychiatry,Life Sciences,2
Biomaterials,Physical Sciences,14
Biomedical Engineering,Physical Sciences,132
Biophysics,Life Sciences,14
Biotechnology,Life Sciences,3
Building and Construction,Physical Sciences,18
Business and International Management,Social Sciences,1
Cancer Research,Life Sciences,34
Cardiology and Cardiovascular Medicine,Health Sciences,137
Catalysis,Physical Sciences,4
Cell Biology,Life Sciences,51
Cellular and Molecular Neuroscience,Life Sciences,43
Ceramics and Composites,Physical Sciences,5
Chemical Health and Safety,Physical Sciences,0
Civil and Structural Engineering,Physical Sciences,18
Classics,Social Sciences,11
Clinical Biochemistry,Life Sciences,4
Clinical Psychology,Social Sciences,101
Cognitive Neuroscience,Life Sciences,82
Communication,Social Sciences,10
Complementary and Manual Therapy,Health Sciences,0
Complementary and alternative medicine,Health Sciences,19
Computational Mathematics,Physical Sciences,4
Computational Mechanics,Physical Sciences,11
Computational Theory and Mathematics,Physical Sciences,25
Computer Graphics and Computer-Aided Design,Physical Sciences,1
Computer Networks and Communications,Physical Sciences,36
Computer Science Applications,Physical Sciences,28
Computer Vision and Pattern Recognition,Physical Sciences,41
Condensed Matter Physics,Physical Sciences,17
Conservation,Social Sciences,1
Control and Systems Engineering,Physical Sciences,26
Critical Care and Intensive Care Medicine,Health Sciences,19
Cultural Studies,Social Sciences,7
Demography,Social Sciences,17
Dermatology,Health Sciences,16
Development,Social Sciences,5
Developmental Biology,Life Sciences,0
Developmental Neuroscience,Life Sciences,8
Developmental and Educational Psychology,Social Sciences,35
Discrete Mathematics and Combinatorics,Physical Sciences,6
Earth-Surface Processes,Physical Sciences,1
Ecological Modeling,Physical Sciences,1
Ecology,Physical Sciences,43
"Ecology, Evolution, Behavior and Systematics",Life Sciences,22
Economics and Econometrics,Social Sciences,76
Education,Social Sciences,143
Electrical and Electronic Engineering,Physical Sciences,119
Electrochemistry,Physical Sciences,3
"Electronic, Optical and Magnetic Materials",Physical Sciences,11
Emergency Medical Services,Health Sciences,21
Emergency Medicine,Health Sciences,25
Endocrine and Autonomic Systems,Life Sciences,30
Endocrinology,Life Sciences,11
"Endocrinology, Diabetes and Metabolism",Health Sciences,75
Energy Engineering and Power Technology,Physical Sciences,0
Environmental Chemistry,Physical Sciences,8
Environmental Engineering,Physical Sciences,24
Epidemiology,Health Sciences,157
Equine,Health Sciences,0
Experimental and Cognitive Psychology,Social Sciences,57
Family Practice,Health Sciences,11
Filtration and Separation,Physical Sciences,0
Finance,Social Sciences,26
Fluid Flow and Transfer Processes,Physical Sciences,2
Food Science,Life Sciences,7
Forestry,Life Sciences,0
Fuel Technology,Physical Sciences,0
Gastroenterology,Health Sciences,23
Gender Studies,Social Sciences,61
General Agricultural and Biological Sciences,Life Sciences,3
General Arts and Humanities,Social Sciences,0
General Decision Sciences,Social Sciences,6
General Dentistry,Health Sciences,0
"General Economics, Econometrics and Finance",Social Sciences,17
General Energy,Physical Sciences,0
General Health Professions,Health Sciences,94
General Materials Science,Physical Sciences,0
